Ion Răducanu,Grupul parlamentar al Partidului Social Democrat
Ion Stan,Grupul parlamentar al Partidului Social Democrat
Ion Tabugan,Grupul parlamentar al Partidului Social Democrat
Ion-Bogdan Mihăilescu,Grupul parlamentar al Partidului Social Democrat
Ionel Arsene,Grupul parlamentar al Partidului Social Democrat
Ionel Palăr,Grupul parlamentar al Partidului Național Liberal
Ionel Stancu,Grupul parlamentar al minorităților naționale
Ion-Marcel Ciolacu,Grupul parlamentar al Partidului Social Democrat
Ionuț-Cristian Săvoiu,Grupul parlamentar al Partidului Social Democrat
Ionuț-Marian Stroe,Grupul parlamentar al Partidului Național Liberal
Iosif Moldovan,Grupul parlamentar al Uniunii Democrate Maghiare din România
Irinel Ioan Stativă,Grupul parlamentar al Partidului Social Democrat
István Antal,Grupul parlamentar al Uniunii Democrate Maghiare din România
István Bónis,Grupul parlamentar al Uniunii Democrate Maghiare din România
István Erdei Dolóczki,Grupul parlamentar al Uniunii Democrate Maghiare din România
Iulian Iancu,Grupul parlamentar al Partidului Social Democrat
Iulian Claudiu Manda,Grupul parlamentar al Partidului Social Democrat
Iulian-Radu Surugiu,Grupul parlamentar al Partidului Național Liberal
Iuliu Nosa,Grupul parlamentar al Partidului Social Democrat
Iusein Ibram,Grupul parlamentar al minorităților naționale
Károly Kerekes,Grupul parlamentar al Uniunii Democrate Maghiare din România
László Borbély,Grupul parlamentar al Uniunii Democrate Maghiare din România
László-Ődőn Fejér,Grupul parlamentar al Uniunii Democrate Maghiare din România
Laurențiu Chirvăsuță,Grupul parlamentar al Partidului Social Democrat
Laurențiu Nistor,Grupul parlamentar al Partidului Social Democrat
Liviu Harbuz,Grupul parlamentar al Partidului Social Democrat
Liviu-Bogdan Ciucă,Grupul parlamentar ALDE (Alianța liberalilor și democraților)
Lucia-Ana Varga,Grupul parlamentar al Partidului Național Liberal
Lucian Șova,Grupul parlamentar al Partidului Social Democrat
Lucian-Manuel Ciubotaru,Grupul parlamentar al Partidului Național Liberal
Lucreția Roșca,Grupul parlamentar al Partidului Social Democrat
Ludovic Orban,Grupul parlamentar al Partidului Național Liberal
Mădălin-Ștefan Voicu,Grupul parlamentar al Partidului Social Democrat
Manuela Mitrea,Grupul parlamentar al Partidului Social Democrat
Marian Enache,Grupul parlamentar al Partidului Social Democrat
Marian Neacșu,Grupul parlamentar al Partidului Social Democrat
Marin Almăjanu,Grupul parlamentar al Partidului Național Liberal
Marius Manolache,Grupul parlamentar al Partidului Social Democrat
Mihai Baltă,Grupul parlamentar al Partidului Social Democrat
Mihai Deaconu,Grupul parlamentar național democrat
Mihai Lupu,Grupul parlamentar al Partidului Național Liberal
Mihai Tudose,Grupul parlamentar al Partidului Social Democrat
Mihai Weber,Grupul parlamentar al Partidului Social Democrat
Mihai Alexandru Voicu,Grupul parlamentar al Partidului Național Liberal
Mihai-Aurel Donțu,Grupul parlamentar al Partidului Național Liberal
Mihai-Răzvan Sturzu,Grupul parlamentar al Partidului Social Democrat
Mihăiță Calimente,Grupul parlamentar al Partidului Național Liberal
Mihăiță Găină,Grupul parlamentar al Partidului Social Democrat
Mircea Dolha,Grupul parlamentar al Partidului Național Liberal
Mircea Dușa,Grupul parlamentar al Partidului Social Democrat
Mircea Roșca,Grupul parlamentar al Partidului Național Liberal
Mircea-Gheorghe Drăghici,Grupul parlamentar al Partidului Social Democrat
Mircea-Titus Dobre,Grupul parlamentar al Partidului Social Democrat
Mircea-Vasile Cazan,Grupul parlamentar al Partidului Național Liberal
Miron Ignat,Grupul parlamentar al minorităților naționale
Natalia-Elena Intotero,Grupul parlamentar al Partidului Social Democrat
Nechita-Adrian Oros,Grupul parlamentar al Partidului Național Liberal
Nechita-Stelian Dolha,Grupul parlamentar al Partidului Național Liberal
Neculai Rățoi,Grupul parlamentar al Partidului Social Democrat
Neviser Zaharcu,Grupul parlamentar al Partidului Social Democrat
Nicolae Bănicioiu,Grupul parlamentar al Partidului Social Democrat
Nicolae Păun,Grupul parlamentar al minorităților naționale
Nicolae-Ciprian Nica,Grupul parlamentar al Partidului Social Democrat
Nicolae-Liviu Dragnea,Grupul parlamentar al Partidului Social Democrat
Niculae Mircovici,Grupul parlamentar al minorităților naționale
Ninel Peia,Grupul parlamentar al Partidului Social Democrat
Nini Săpunaru,Grupul parlamentar al Partidului Național Liberal
Oana Manolescu,Grupul parlamentar al minorităților naționale
Octavian Petric,Grupul parlamentar al Partidului Social Democrat
Octavian-Marius Popa,Grupul parlamentar al Partidului Național Liberal
Ödön Szabó,Grupul parlamentar al Uniunii Democrate Maghiare din România
Ovidiu-Cristian Iane,Grupul parlamentar al Partidului Social Democrat
Ovidiu Victor Ganț,Grupul parlamentar al minorităților naționale
Petre Daea,Grupul parlamentar al Partidului Social Democrat
Petru Andea,Grupul parlamentar al Partidului Social Democrat
Petru Gabriel Vlase,Grupul parlamentar al Partidului Social Democrat
Radu Babuș,Grupul parlamentar al Partidului Social Democrat
Radu Zlati,Grupul parlamentar al Partidului Național Liberal
Radu Bogdan Țîmpău,Grupul parlamentar al Partidului Național Liberal
Radu Costin Vasilică,Grupul parlamentar al Partidului Social Democrat
Raluca Surdu,Grupul parlamentar al Partidului Național Liberal
Raluca-Cristina Ispir,Grupul parlamentar al Partidului Național Liberal
Răzvan Horia Mironescu,Grupul parlamentar al Partidului Național Liberal
Rodica Nassar,Grupul parlamentar al Partidului Social Democrat
Rodin Traicu,Grupul parlamentar al Partidului Social Democrat
Rovana Plumb,Grupul parlamentar al Partidului Social Democrat
Roxana-Florentina Anușca,Grupul parlamentar al Partidului Național Liberal
Sebastian-Aurelian Ghiță,Grupul parlamentar al Partidului Social Democrat
Simona Bucura-Oprescu,Grupul parlamentar al Partidului Social Democrat
Slavomir Gvozdenovici,Grupul parlamentar al minorităților naționale
Sonia-Maria Drăghici,Grupul parlamentar al Partidului Social Democrat
Sorin-Avram Iacoban,Grupul parlamentar al Partidului Social Democrat
Sorin Constantin Stragea,Grupul parlamentar al Partidului Social Democrat
Sorin Mihai Grindeanu,Grupul parlamentar al Partidului Social Democrat
Ștefan Burlacu,Grupul parlamentar național democrat
Ștefan-Alexandru Băișanu,Grupul parlamentar al Partidului Național Liberal
Tamara-Dorina Ciofu,Grupul parlamentar al Partidului Social Democrat
Toader Dima,Grupul parlamentar al Partidului Social Democrat
Traian Dobrinescu,Grupul parlamentar al Partidului Național Liberal
Valentin Rusu,Grupul parlamentar al Partidului Național Liberal
Valentin Gabriel Boboc,Grupul parlamentar al Partidului Social Democrat
Valeriu-Andrei Steriu,Grupul parlamentar al Partidului Social Democrat
Valeriu Ștefan Zgonea,Grupul parlamentar al Partidului Social Democrat
Varol Amet,Grupul parlamentar al minorităților naționale
Varujan Pambuccian,Grupul parlamentar al minorităților naționale
Vasile Berci,Grupul parlamentar al Partidului Național Liberal
Vasile Horga,Grupul parlamentar al Partidului Național Liberal
Vasile Popeangă,Grupul parlamentar al Partidului Social Democrat
Vasile Varga,Grupul parlamentar al Partidului Național Liberal
Vasile-Cătălin Drăgușanu,Grupul parlamentar ALDE (Alianța liberalilor și democraților)
Vasile-Daniel Suciu,Grupul parlamentar al Partidului Social Democrat
Vasile Ghiorghe Gliga,Grupul parlamentar al Partidului Social Democrat
Victor Cristea,Grupul parlamentar al Partidului Social Democrat
Victor Roman,Grupul parlamentar al Partidului Social Democrat
Victor-Gheorghe Manea,Grupul parlamentar al Partidului Național Liberal
Victor Paul Dobre,Grupul parlamentar al Partidului Național Liberal
Victor-Viorel Ponta,Grupul parlamentar al Partidului Social Democrat
Violeta Tudorie,Grupul parlamentar al Partidului Social Democrat
Viorel Ștefan,Grupul parlamentar al Partidului Social Democrat
Viorel Marian Dragomir,Grupul parlamentar al Partidului Social Democrat
Viorica Marcu,Grupul parlamentar al Partidului Național Liberal
Virgil Delureanu,Grupul parlamentar al Partidului Social Democrat
Vlad Marcoci,Grupul parlamentar al Partidului Social Democrat
Vlad-Alexandru Cosma,Grupul parlamentar al Partidului Social Democrat
Zisu Stanciu,Grupul parlamentar al Partidului Social Democrat
Zsolt Molnar,Grupul parlamentar al Uniunii Democrate Maghiare din România
Ioan Moldovan,Grupul parlamentar ALDE (Alianța liberalilor și democraților)
Vicențiu-Mircea Irimie,Grupul parlamentar ALDE (Alianța liberalilor și democraților)
Romeo Florin Nicoară,Grupul parlamentar al Partidului Național Liberal
Mihaela Stoica,Deputați neafiliați
Gabriel Andronache,Grupul parlamentar al Partidului Național Liberal
Remus-Florinel Cernea,Deputați neafiliați
Sergiu-Constantin Vizitiu,Grupul parlamentar al Partidului Social Democrat
Ion Melinte,Grupul parlamentar al Partidului Social Democrat
Maria Grecea,Grupul parlamentar al Partidului Național Liberal
Eugen Chebac,Grupul parlamentar al Partidului Social Democrat
Constantin-Alin Bucur,Grupul parlamentar al Partidului Social Democrat
Miron Alexandru Smarandache,Grupul parlamentar al Partidului Social Democrat
Ion Cristinel Marian,Grupul parlamentar național democrat
Iacob Pușcaș,Grupul parlamentar al Partidului Social Democrat
Ioan Hulea,Grupul parlamentar al Partidului Social Democrat
Liviu Codîrlă,Grupul parlamentar al Partidului Social Democrat
Neagu Murgu,Grupul parlamentar al Partidului Social Democrat
Elena Gabriela Udrea,Deputați neafiliați
Florin Aurelian Popescu,Deputați neafiliați
Nuțu Fonta,Grupul parlamentar al Partidului Social Democrat
Constantin Moisii,Grupul parlamentar al Partidului Social Democrat
Titi Holban,Grupul parlamentar al Partidului Social Democrat
Călin Potor,Grupul parlamentar al Partidului Social Democrat
Ioan Mihăilă,Grupul parlamentar al Partidului Social Democrat
Constantin-Cosmin Enea,Grupul parlamentar al Partidului Social Democrat
Marioara Nistor,Grupul parlamentar al Partidului Social Democrat
Adrian-Nicolae Diaconu,Grupul parlamentar al Partidului Social Democrat
Mircia Muntean,Grupul parlamentar al Partidului Social Democrat
Andrei Daniel Gheorghe,Grupul parlamentar al Partidului Național Liberal
Florică Bîrsășteanu,Grupul parlamentar al Partidului Social Democrat
Laura Marin,Grupul parlamentar al Partidului Social Democrat
Mario-Ernest Caloianu,Grupul parlamentar al Partidului Social Democrat
Petru-Sorin Marica,Grupul parlamentar al Partidului Social Democrat
Luminița-Pachel Adam,Grupul parlamentar al Partidului Social Democrat
Ioana-Jenica Dumitru,Grupul parlamentar al Partidului Social Democrat
Ioan Viorel Teodorescu,Grupul parlamentar al Partidului Social Democrat
Aurel Niculae,Grupul parlamentar al Partidului Social Democrat
Laurențiu Țigăeru Roșca,Grupul parlamentar al Partidului Social Democrat
Andrei Dominic Gerea,Grupul parlamentar ALDE (Alianța liberalilor și democraților)
Constantin Galan,Grupul parlamentar ALDE (Alianța liberalilor și democraților)
Daniel Chițoiu,Grupul parlamentar ALDE (Alianța liberalilor și democraților)
Dan-Laurențiu Tocuț,Grupul parlamentar ALDE (Alianța liberalilor și democraților)
Dorinel Ursărescu,Grupul parlamentar ALDE (Alianța liberalilor și democraților)
